package	version	path	kind	mode	bytes	sha256	linkTarget	finalDisposition	collisionPolicy
ncurses	6.6-2	usr/share/terminfo/70/pt200w	data	644	631	ac0ef601cf990547872d43a1cd4900b78d1c5dfef2522e077e9bff7139845334		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/pt210	data	644	336	ce16323ffa9cafcfabb5072b5e078657ac4891cc9dcc1c4040ddd9ac3c38ce5c		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/pt250	data	644	582	ab1eebe8ff83b48b2bf481a8d39d12bb7fdeea3033278e39db638c8718ed923c		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/pt250w	data	644	594	1425df129c5eb5e8989fdcc47953e3273e140230e56b1f6beb84651926604975		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/pt505	data	644	1183	a60520571515d4a386c78f33532e0d62c43882de13f06d02f10ee699f046cf46		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/pt505-22	data	644	1179	dc11beb0a8840e9c8bc09bccdbafec3be9d470aa64a7333a0b4e4a609d852315		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/pt505-24	data	644	1147	a618242c3eebd7852ec6551c83667d4a5e92ff7464ffee57f248441f933805f5		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/pty	data	644	437	0cd40859afd1f67e885de75d1b5c3fa5752e218ee3dcc0efeb3b9fe29bb3a7fd		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/putty	data	644	2562	e4469ec3a6e1f8dca98e8bd67b113c4f37be21bf77935831503089d05de23588		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/putty+cursor	data	644	116	67f531a60249cb40a3d0e76b88472e6bf69b91f70a64788b0e169d54f8903afa		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/putty+fnkeys	data	644	616	eff46b2ce3d5add09f3532a11898d207762a55b274585db0e58892f675d14d84		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/putty+fnkeys+esc	data	644	626	15908297bf13d861e00e43533de00aab961ba4459407b368809c7ac674c9ff16		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/putty+fnkeys+linux	data	644	623	a1ff6e770d1ae3da0dfe310abb5dd4dcde52e2d6d30953d3862d66ff3f83c4db		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/putty+fnkeys+sco	data	644	794	5751191a1b2027e9cb94df4a343150d8720f7488a67a58552c12812f8b739ec9		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/putty+fnkeys+vt100	data	644	604	c5b50f7348fd988ff286fdb4ff3bdfd3f18a6226dabf32ce54f8a4d9ea61c94a		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/putty+fnkeys+vt400	data	644	628	3c53ca8f00598668a6f9bdde6e5b434408d82158cbb399c44ba3ab7441a30da5		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/putty+fnkeys+xterm	data	644	622	f8d44f7182323fc87b77e354e31460e9c02fdd117b3db8f77abc8eae646207b9		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/putty+keypad	data	644	262	3fc95d6aa89d2a46f99eb3c5c59087297aadeb3b199f786c241f0d2a36249733		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/putty+screen	data	644	116	5f41ac7fe27e65a9ee9ec437c2821ba7e73fe4ed0640463a8bcd846b3ad83023		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/putty-256color	data	644	2640	037f3c2cb482f6b7f457ff1a2878d3641c1a23fe114efd53ed4e5e3a272c46a0		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/putty-m1	data	644	1895	7990ba4278c07a1f5e83e9d3eef8a4a30cef73a13d706474911268513ba46bcf		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/putty-m1b	data	644	1837	85e4c80849b3ebadb276185aaae7f26f8370d438af999a80488678e403e907ce		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/putty-m2	data	644	1955	f92e3caef18432aed04f61e850cd2fbedcdb485a6049702374103e5ee699f5ed		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/putty-noapp	data	644	2580	ddd568b788c7f014c3427f79b299e5f9c496bb8fa2e8739b95b3267ad0ca8b35		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/putty-sco	data	644	2638	b9ad1de97dbdaa908a512769713b2a4c9baf86c8dc942ad9017384df36d7c55f		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/putty-screen	data	644	2632	d4d3fee7a230bc8fb397fe7ae592de754dc7b57a4128e9b2d4f679136b5e69d6		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/70/putty-vt100	data	644	2542	802d11868d328e800e03e8884dc3f7036e7373d2d34024590e7adda4fb166d98		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/71/qansi	data	644	2007	56549f6a15910c6ee83b2922aefd8b06bbe24d0c739afb966802d06cf10023b5		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/71/qansi-g	data	644	1977	6a8d9c9d1ace08800b1ad6cd7ee6bc336243880c15e2cd307a6a75250a0dd66d		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/71/qansi-m	data	644	2160	85976ac7a23fd2defa5a3b7eac7c379a79344e81466170ae12ff6f5ddebea78b		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/71/qansi-t	data	644	2013	a334c05425671185355579311e800cbdd6d11fe397cc71b83e6ab853606342a6		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/71/qansi-w	data	644	2162	a72bf4578f38c9c8f68ded1712937b6b8c571f58dc0252eb86747ddacf8fd8ea		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/71/qdcons	data	644	152	99004aad3efb3683cba2a19026144782cbfc4b9eed0d1031473b99344b2a839d		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/71/qdss	data	644	152	99004aad3efb3683cba2a19026144782cbfc4b9eed0d1031473b99344b2a839d		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/71/qnx	data	644	1365	aaf9f9c2e11d3cabf17186fe94be9b2c3d92fdfa98e17796ae70030c5f58c24a		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/71/qnx4	data	644	1365	aaf9f9c2e11d3cabf17186fe94be9b2c3d92fdfa98e17796ae70030c5f58c24a		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/71/qnxm	data	644	1474	e8dc9ef797fdc3372a63f31e881dd705132ffd78d0cf054b7d73f1ed9d146ee8		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/71/qnxt	data	644	1369	252f3c60412e66f0ae7ef893101a151498b781870b2ac080275f94151a6dfe32		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/71/qnxt2	data	644	1280	ca78680ed9a44e66d79ce57436dcf318d08106e093c3b54c2a367d793b5ee7df		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/71/qnxt4	data	644	1369	252f3c60412e66f0ae7ef893101a151498b781870b2ac080275f94151a6dfe32		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/71/qnxtmono	data	644	1389	2106b3a30a57e6ffb60f499f5d9e3bb70100dbe57b5270463bd5f1e7bedbffc8		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/71/qnxw	data	644	1464	062d1e165712e78effcbd8e10b8a59ae62e450a7c87083589230eaeef659dab4		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/71/qume	data	644	364	6a38127e051961f481f62d604cf802a7f3c5e6f43473cc2b13d1a40aa3f118c5		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/71/qume5	data	644	364	6a38127e051961f481f62d604cf802a7f3c5e6f43473cc2b13d1a40aa3f118c5		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/71/qvt101	data	644	584	20ba238a68e152b4f22efdce411ab5333a659747d0c8a195b96200f1d478d123		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/71/qvt101+	data	644	586	1b9dcd2dd133da88db94ea861792b4228d3ba25acf63fde361f892879598280d		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/71/qvt101p	data	644	586	1b9dcd2dd133da88db94ea861792b4228d3ba25acf63fde361f892879598280d		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/71/qvt102	data	644	563	fe31654eea8307f44c9db51e615edc2209b675cc488be7534c42c7b6bd342698		pending-final-package	exclusive-owner
ncurses	6.6-2	usr/share/terminfo/71/qvt103	data	644	753	dd39f8a3bf185e9b5919d4fa38a00a48b2a23b8b67a8fb567c9777b19b9b899b		pending-final-package	exclusive-owner
