path	sourcePackage	sourceVersion	ownershipCommit
usr/bin/kill.exe	msys2-runtime	3.6.9-2	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/ldd.exe	msys2-runtime	3.6.9-2	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/ldh.exe	msys2-runtime	3.6.9-2	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/less.exe	less	704-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/lesskey.exe	less	704-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/link.exe	coreutils	8.32-5	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/ln.exe	coreutils	8.32-5	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/locale.exe	msys2-runtime	3.6.9-2	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/locate.exe	findutils	4.10.0-3	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/logname.exe	coreutils	8.32-5	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/ls.exe	coreutils	8.32-5	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/lsattr.exe	msys2-runtime	3.6.9-2	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/mac2unix.exe	dos2unix	7.5.6-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/md5sum.exe	coreutils	8.32-5	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/minidumper.exe	msys2-runtime	3.6.9-2	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/mintty.exe	mintty	1~3.8.3-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/mkdir.exe	coreutils	8.32-5	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/mkfifo.exe	coreutils	8.32-5	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/mkgroup.exe	msys2-runtime	3.6.9-2	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/mknod.exe	coreutils	8.32-5	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/mkpasswd.exe	msys2-runtime	3.6.9-2	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/mktemp.exe	coreutils	8.32-5	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/mount.exe	msys2-runtime	3.6.9-2	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/mpicalc.exe	libgcrypt	1.12.2-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-2.0.dll	msys2-runtime	3.6.9-2	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-apr-1-0.dll	apr	1.7.6-2	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-aprutil-1-0.dll	apr-util	1.6.3-2	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-asn1-8.dll	heimdal-libs	7.8.0-5	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-assuan-9.dll	libassuan	3.0.2-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-bz2-1.dll	libbz2	1.0.8-4	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-cbor-0.11.dll	libcbor	0.11.0-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-com_err-1.dll	heimdal-libs	7.8.0-5	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-crypt-2.dll	libxcrypt	4.5.2-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-crypto-3.dll	libopenssl	3.5.7-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-edit-0.dll	libedit	20240808_3.1-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-expat-1.dll	libexpat	2.8.2-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-ffi-8.dll	libffi	3.6.0-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-fido2-1.dll	libfido2	1.15.0-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-gcc_s-seh-1.dll	gcc-libs	15.3.0-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-gcrypt-20.dll	libgcrypt	1.12.2-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-gdbm-6.dll	libgdbm	1.26-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-gdbm_compat-4.dll	libgdbm	1.26-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-gmp-10.dll	gmp	6.3.0-2	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-gnutls-30.dll	libgnutls	3.8.13-2	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-gpg-error-0.dll	libgpg-error	1.61-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-gssapi-3.dll	heimdal-libs	7.8.0-5	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-hcrypto-4.dll	heimdal-libs	7.8.0-5	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-heimbase-1.dll	heimdal-libs	7.8.0-5	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-heimntlm-0.dll	heimdal-libs	7.8.0-5	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
usr/bin/msys-hogweed-7.dll	libhogweed	4.0-1	7a77c0c5ff81d1c979302c9cc49a62f26f68d17c
